,data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
1554738,2020-11-15,2,2.0,0.2857142857142857
1554963,2020-11-16,0,-2.0,0.2857142857142857
1555188,2020-11-17,2,2.0,0.5714285714285714
1555413,2020-11-18,0,-2.0,0.5714285714285714
1555638,2020-11-19,0,0.0,0.5714285714285714
1555863,2020-11-20,0,0.0,0.5714285714285714
1556088,2020-11-21,0,0.0,0.5714285714285714
1556313,2020-11-22,0,0.0,0.2857142857142857
1556538,2020-11-23,0,0.0,0.2857142857142857
1556763,2020-11-24,0,0.0,0.0
1556988,2020-11-25,0,0.0,0.0
1557213,2020-11-26,0,0.0,0.0
1557438,2020-11-27,0,0.0,0.0
1557663,2020-11-28,0,0.0,0.0
1557888,2020-11-29,0,0.0,0.0
1558113,2020-11-30,0,0.0,0.0
1558338,2020-12-01,0,0.0,0.0
1558563,2020-12-02,0,0.0,0.0
1558788,2020-12-03,0,0.0,0.0
1559013,2020-12-04,2,2.0,0.2857142857142857
1559238,2020-12-05,2,0.0,0.5714285714285714
1559463,2020-12-06,0,-2.0,0.5714285714285714
1559688,2020-12-07,1,1.0,0.7142857142857143
1559913,2020-12-08,-1,-2.0,0.5714285714285714
1560138,2020-12-09,1,2.0,0.7142857142857143
1560363,2020-12-10,0,-1.0,0.7142857142857143
1560588,2020-12-11,0,0.0,0.42857142857142855
1560813,2020-12-12,1,1.0,0.2857142857142857
1561038,2020-12-13,0,-1.0,0.2857142857142857
1561263,2020-12-14,0,0.0,0.14285714285714285
1561488,2020-12-15,2,2.0,0.5714285714285714
1561713,2020-12-16,0,-2.0,0.42857142857142855
1561938,2020-12-17,0,0.0,0.42857142857142855
1562163,2020-12-18,0,0.0,0.42857142857142855
1562388,2020-12-19,0,0.0,0.2857142857142857
1562613,2020-12-20,0,0.0,0.2857142857142857
1562838,2020-12-21,0,0.0,0.2857142857142857
1563063,2020-12-22,0,0.0,0.0
1563288,2020-12-23,5,5.0,0.7142857142857143
1563513,2020-12-24,0,-5.0,0.7142857142857143
1563738,2020-12-25,0,0.0,0.7142857142857143
1563963,2020-12-26,1,1.0,0.8571428571428571
1564188,2020-12-27,0,-1.0,0.8571428571428571
1564413,2020-12-28,0,0.0,0.8571428571428571
1564638,2020-12-29,0,0.0,0.8571428571428571
1564863,2020-12-30,0,0.0,0.14285714285714285
1565088,2020-12-31,3,3.0,0.5714285714285714
1565313,2021-01-01,0,-3.0,0.5714285714285714
1565538,2021-01-02,0,0.0,0.42857142857142855
1565763,2021-01-03,0,0.0,0.42857142857142855
1565988,2021-01-04,0,0.0,0.42857142857142855
1566213,2021-01-05,0,0.0,0.42857142857142855
1566438,2021-01-06,0,0.0,0.42857142857142855
1566663,2021-01-07,0,0.0,0.0
1566888,2021-01-08,2,2.0,0.2857142857142857
1567113,2021-01-09,0,-2.0,0.2857142857142857
1567338,2021-01-10,0,0.0,0.2857142857142857
1567563,2021-01-11,0,0.0,0.2857142857142857
1567788,2021-01-12,0,0.0,0.2857142857142857
1568013,2021-01-13,3,3.0,0.7142857142857143
1568238,2021-01-14,0,-3.0,0.7142857142857143
1568463,2021-01-15,0,0.0,0.42857142857142855
1568688,2021-01-16,0,0.0,0.42857142857142855
1568913,2021-01-17,0,0.0,0.42857142857142855
1569138,2021-01-18,0,0.0,0.42857142857142855
1569363,2021-01-19,0,0.0,0.42857142857142855
1569588,2021-01-20,0,0.0,0.0
1569813,2021-01-21,1,1.0,0.14285714285714285
1570038,2021-01-22,0,-1.0,0.14285714285714285
1570263,2021-01-23,1,1.0,0.2857142857142857
1570488,2021-01-24,1,0.0,0.42857142857142855
1570713,2021-01-25,0,-1.0,0.42857142857142855
1570938,2021-01-26,3,3.0,0.8571428571428571
1571163,2021-01-27,2,-1.0,1.1428571428571428
1571388,2021-01-28,2,0.0,1.2857142857142858
1571613,2021-01-29,2,0.0,1.5714285714285714
1571838,2021-01-30,0,-2.0,1.4285714285714286
1572063,2021-01-31,11,11.0,2.857142857142857
1572288,2021-02-01,3,-8.0,3.2857142857142856
1572513,2021-02-02,20,17.0,5.714285714285714
1572738,2021-02-03,5,-15.0,6.142857142857143
1572963,2021-02-04,8,3.0,7.0
1573188,2021-02-05,1,-7.0,6.857142857142857
1573413,2021-02-06,0,-1.0,6.857142857142857
1573638,2021-02-07,0,0.0,5.285714285714286
1573863,2021-02-08,0,0.0,4.857142857142857
1574088,2021-02-09,0,0.0,2.0
1574313,2021-02-10,1,1.0,1.4285714285714286
1574538,2021-02-11,1,0.0,0.42857142857142855
1574763,2021-02-12,0,-1.0,0.2857142857142857
1574988,2021-02-13,2,2.0,0.5714285714285714
1575213,2021-02-14,2,0.0,0.8571428571428571
1575438,2021-02-15,3,1.0,1.2857142857142858
1575663,2021-02-16,0,-3.0,1.2857142857142858
1575888,2021-02-17,1,1.0,1.2857142857142858
1576113,2021-02-18,1,0.0,1.2857142857142858
1576338,2021-02-19,4,3.0,1.8571428571428572
1576563,2021-02-20,5,1.0,2.2857142857142856
1576788,2021-02-21,3,-2.0,2.4285714285714284
1577013,2021-02-22,0,-3.0,2.0
1577238,2021-02-23,1,1.0,2.142857142857143
1577463,2021-02-24,8,7.0,3.142857142857143
1577688,2021-02-25,3,-5.0,3.4285714285714284
1577913,2021-02-26,5,2.0,3.5714285714285716
1578138,2021-02-27,4,-1.0,3.4285714285714284
1578363,2021-02-28,2,-2.0,3.2857142857142856
1578588,2021-03-01,2,0.0,3.5714285714285716
1578813,2021-03-02,3,1.0,3.857142857142857
1579038,2021-03-03,0,-3.0,2.7142857142857144
1579263,2021-03-04,15,15.0,4.428571428571429
1579488,2021-03-05,0,-15.0,3.7142857142857144
1579713,2021-03-06,0,0.0,3.142857142857143
1579938,2021-03-07,5,5.0,3.5714285714285716
1580163,2021-03-08,1,-4.0,3.4285714285714284
1580388,2021-03-09,2,1.0,3.2857142857142856
1580613,2021-03-10,10,8.0,4.714285714285714
1580838,2021-03-11,1,-9.0,2.7142857142857144
1581063,2021-03-12,3,2.0,3.142857142857143
1581288,2021-03-13,4,1.0,3.7142857142857144
1581513,2021-03-14,6,2.0,3.857142857142857
1581738,2021-03-15,4,-2.0,4.285714285714286
1581963,2021-03-16,4,0.0,4.571428571428571
1582188,2021-03-17,0,-4.0,3.142857142857143
1582413,2021-03-18,5,5.0,3.7142857142857144
1582638,2021-03-19,7,2.0,4.285714285714286
1582863,2021-03-20,5,-2.0,4.428571428571429
1583088,2021-03-21,3,-2.0,4.0
1583313,2021-03-22,2,-1.0,3.7142857142857144
1583538,2021-03-23,11,9.0,4.714285714285714
1583763,2021-03-24,1,-10.0,4.857142857142857
1583988,2021-03-25,8,7.0,5.285714285714286
1584213,2021-03-26,5,-3.0,5.0
1584438,2021-03-27,3,-2.0,4.714285714285714
1584663,2021-03-28,4,1.0,4.857142857142857
1584888,2021-03-29,2,-2.0,4.857142857142857
1585113,2021-03-30,6,4.0,4.142857142857143
1585338,2021-03-31,18,12.0,6.571428571428571
1585563,2021-04-01,12,-6.0,7.142857142857143
1585788,2021-04-02,9,-3.0,7.714285714285714
1586013,2021-04-03,0,-9.0,7.285714285714286
1586238,2021-04-04,5,5.0,7.428571428571429
1586463,2021-04-05,0,-5.0,7.142857142857143
1586688,2021-04-06,1,1.0,6.428571428571429
1586913,2021-04-07,0,-1.0,3.857142857142857
1587138,2021-04-08,8,8.0,3.2857142857142856
1587363,2021-04-09,3,-5.0,2.4285714285714284
1587588,2021-04-10,12,9.0,4.142857142857143
1587813,2021-04-11,0,-12.0,3.4285714285714284
1588038,2021-04-12,3,3.0,3.857142857142857
1588263,2021-04-13,14,11.0,5.714285714285714
1588488,2021-04-14,7,-7.0,6.714285714285714
1588713,2021-04-15,2,-5.0,5.857142857142857
1588938,2021-04-16,1,-1.0,5.571428571428571
1589163,2021-04-17,9,8.0,5.142857142857143
1589388,2021-04-18,3,-6.0,5.571428571428571
1589613,2021-04-19,8,5.0,6.285714285714286
1589838,2021-04-20,8,0.0,5.428571428571429
1590063,2021-04-21,4,-4.0,5.0
1590288,2021-04-22,0,-4.0,4.714285714285714
1590513,2021-04-23,4,4.0,5.142857142857143
1590738,2021-04-24,2,-2.0,4.142857142857143
1590963,2021-04-25,1,-1.0,3.857142857142857
1591188,2021-04-26,2,1.0,3.0
1591413,2021-04-27,0,-2.0,1.8571428571428572
1591638,2021-04-28,0,0.0,1.2857142857142858
1591863,2021-04-29,0,0.0,1.2857142857142858
1592088,2021-04-30,1,1.0,0.8571428571428571
1592313,2021-05-01,0,-1.0,0.5714285714285714
1592538,2021-05-02,3,3.0,0.8571428571428571
1592763,2021-05-03,1,-2.0,0.7142857142857143
1592988,2021-05-04,2,1.0,1.0
1593213,2021-05-05,2,0.0,1.2857142857142858
1593438,2021-05-06,0,-2.0,1.2857142857142858
1593663,2021-05-07,0,0.0,1.1428571428571428
1593888,2021-05-08,1,1.0,1.2857142857142858
1594113,2021-05-09,1,0.0,1.0
1594338,2021-05-10,0,-1.0,0.8571428571428571
1594563,2021-05-11,0,0.0,0.5714285714285714
1594788,2021-05-12,0,0.0,0.2857142857142857
1595013,2021-05-13,0,0.0,0.2857142857142857
1595238,2021-05-14,0,0.0,0.2857142857142857
1595463,2021-05-15,0,0.0,0.14285714285714285
1595688,2021-05-16,1,1.0,0.14285714285714285
1595913,2021-05-17,0,-1.0,0.14285714285714285
1596138,2021-05-18,0,0.0,0.14285714285714285
1596363,2021-05-19,0,0.0,0.14285714285714285
1596588,2021-05-20,0,0.0,0.14285714285714285
1596813,2021-05-21,4,4.0,0.7142857142857143
1597038,2021-05-22,3,-1.0,1.1428571428571428
1597263,2021-05-23,1,-2.0,1.1428571428571428
1597488,2021-05-24,4,3.0,1.7142857142857142
1597713,2021-05-25,3,-1.0,2.142857142857143
1597938,2021-05-26,1,-2.0,2.2857142857142856
1598163,2021-05-27,2,1.0,2.5714285714285716
1598388,2021-05-28,14,12.0,4.0
1598613,2021-05-29,6,-8.0,4.428571428571429
1598838,2021-05-30,5,-1.0,5.0
1599063,2021-05-31,3,-2.0,4.857142857142857
1599288,2021-06-01,1,-2.0,4.571428571428571
1599513,2021-06-02,8,7.0,5.571428571428571
1599738,2021-06-03,12,4.0,7.0
1599963,2021-06-04,6,-6.0,5.857142857142857
1600188,2021-06-05,9,3.0,6.285714285714286
1600413,2021-06-06,1,-8.0,5.714285714285714
1600638,2021-06-07,0,-1.0,5.285714285714286
1600863,2021-06-08,15,15.0,7.285714285714286
1601088,2021-06-09,0,-15.0,6.142857142857143
1601313,2021-06-10,14,14.0,6.428571428571429
1601538,2021-06-11,2,-12.0,5.857142857142857
