data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
2020-11-23,0,0.0,0.2857142857142857
2020-11-24,0,0.0,0.0
2020-11-25,0,0.0,0.0
2020-11-26,0,0.0,0.0
2020-11-27,0,0.0,0.0
2020-11-28,0,0.0,0.0
2020-11-29,0,0.0,0.0
2020-11-30,0,0.0,0.0
2020-12-01,0,0.0,0.0
2020-12-02,0,0.0,0.0
2020-12-03,0,0.0,0.0
2020-12-04,2,2.0,0.2857142857142857
2020-12-05,2,0.0,0.5714285714285714
2020-12-06,0,-2.0,0.5714285714285714
2020-12-07,1,1.0,0.7142857142857143
2020-12-08,-1,-2.0,0.5714285714285714
2020-12-09,1,2.0,0.7142857142857143
2020-12-10,0,-1.0,0.7142857142857143
2020-12-11,0,0.0,0.42857142857142855
2020-12-12,1,1.0,0.2857142857142857
2020-12-13,0,-1.0,0.2857142857142857
2020-12-14,0,0.0,0.14285714285714285
2020-12-15,2,2.0,0.5714285714285714
2020-12-16,0,-2.0,0.42857142857142855
2020-12-17,0,0.0,0.42857142857142855
2020-12-18,0,0.0,0.42857142857142855
2020-12-19,0,0.0,0.2857142857142857
2020-12-20,0,0.0,0.2857142857142857
2020-12-21,0,0.0,0.2857142857142857
2020-12-22,0,0.0,0.0
2020-12-23,5,5.0,0.7142857142857143
2020-12-24,0,-5.0,0.7142857142857143
2020-12-25,0,0.0,0.7142857142857143
2020-12-26,1,1.0,0.8571428571428571
2020-12-27,0,-1.0,0.8571428571428571
2020-12-28,0,0.0,0.8571428571428571
2020-12-29,0,0.0,0.8571428571428571
2020-12-30,0,0.0,0.14285714285714285
2020-12-31,3,3.0,0.5714285714285714
2021-01-01,0,-3.0,0.5714285714285714
2021-01-02,0,0.0,0.42857142857142855
2021-01-03,0,0.0,0.42857142857142855
2021-01-04,0,0.0,0.42857142857142855
2021-01-05,0,0.0,0.42857142857142855
2021-01-06,0,0.0,0.42857142857142855
2021-01-07,0,0.0,0.0
2021-01-08,2,2.0,0.2857142857142857
2021-01-09,0,-2.0,0.2857142857142857
2021-01-10,0,0.0,0.2857142857142857
2021-01-11,0,0.0,0.2857142857142857
2021-01-12,0,0.0,0.2857142857142857
2021-01-13,3,3.0,0.7142857142857143
2021-01-14,0,-3.0,0.7142857142857143
2021-01-15,0,0.0,0.42857142857142855
2021-01-16,0,0.0,0.42857142857142855
2021-01-17,0,0.0,0.42857142857142855
2021-01-18,0,0.0,0.42857142857142855
2021-01-19,0,0.0,0.42857142857142855
2021-01-20,0,0.0,0.0
2021-01-21,1,1.0,0.14285714285714285
2021-01-22,0,-1.0,0.14285714285714285
2021-01-23,1,1.0,0.2857142857142857
2021-01-24,1,0.0,0.42857142857142855
2021-01-25,0,-1.0,0.42857142857142855
2021-01-26,3,3.0,0.8571428571428571
2021-01-27,2,-1.0,1.1428571428571428
2021-01-28,2,0.0,1.2857142857142858
2021-01-29,2,0.0,1.5714285714285714
2021-01-30,0,-2.0,1.4285714285714286
2021-01-31,11,11.0,2.857142857142857
2021-02-01,3,-8.0,3.2857142857142856
2021-02-02,20,17.0,5.714285714285714
2021-02-03,5,-15.0,6.142857142857143
2021-02-04,8,3.0,7.0
2021-02-05,1,-7.0,6.857142857142857
2021-02-06,0,-1.0,6.857142857142857
2021-02-07,0,0.0,5.285714285714286
2021-02-08,0,0.0,4.857142857142857
2021-02-09,0,0.0,2.0
2021-02-10,1,1.0,1.4285714285714286
2021-02-11,1,0.0,0.42857142857142855
2021-02-12,0,-1.0,0.2857142857142857
2021-02-13,2,2.0,0.5714285714285714
2021-02-14,2,0.0,0.8571428571428571
2021-02-15,3,1.0,1.2857142857142858
2021-02-16,0,-3.0,1.2857142857142858
2021-02-17,1,1.0,1.2857142857142858
2021-02-18,1,0.0,1.2857142857142858
2021-02-19,4,3.0,1.8571428571428572
2021-02-20,5,1.0,2.2857142857142856
2021-02-21,3,-2.0,2.4285714285714284
2021-02-22,0,-3.0,2.0
2021-02-23,1,1.0,2.142857142857143
2021-02-24,8,7.0,3.142857142857143
2021-02-25,3,-5.0,3.4285714285714284
2021-02-26,5,2.0,3.5714285714285716
2021-02-27,4,-1.0,3.4285714285714284
2021-02-28,2,-2.0,3.2857142857142856
2021-03-01,2,0.0,3.5714285714285716
2021-03-02,3,1.0,3.857142857142857
2021-03-03,0,-3.0,2.7142857142857144
2021-03-04,15,15.0,4.428571428571429
2021-03-05,0,-15.0,3.7142857142857144
2021-03-06,0,0.0,3.142857142857143
2021-03-07,5,5.0,3.5714285714285716
2021-03-08,1,-4.0,3.4285714285714284
2021-03-09,2,1.0,3.2857142857142856
2021-03-10,10,8.0,4.714285714285714
2021-03-11,1,-9.0,2.7142857142857144
2021-03-12,3,2.0,3.142857142857143
2021-03-13,4,1.0,3.7142857142857144
2021-03-14,6,2.0,3.857142857142857
2021-03-15,4,-2.0,4.285714285714286
2021-03-16,4,0.0,4.571428571428571
2021-03-17,0,-4.0,3.142857142857143
2021-03-18,5,5.0,3.7142857142857144
2021-03-19,7,2.0,4.285714285714286
2021-03-20,5,-2.0,4.428571428571429
2021-03-21,3,-2.0,4.0
2021-03-22,2,-1.0,3.7142857142857144
2021-03-23,11,9.0,4.714285714285714
2021-03-24,1,-10.0,4.857142857142857
2021-03-25,8,7.0,5.285714285714286
2021-03-26,5,-3.0,5.0
2021-03-27,3,-2.0,4.714285714285714
2021-03-28,4,1.0,4.857142857142857
2021-03-29,2,-2.0,4.857142857142857
2021-03-30,6,4.0,4.142857142857143
2021-03-31,18,12.0,6.571428571428571
2021-04-01,12,-6.0,7.142857142857143
2021-04-02,9,-3.0,7.714285714285714
2021-04-03,0,-9.0,7.285714285714286
2021-04-04,5,5.0,7.428571428571429
2021-04-05,0,-5.0,7.142857142857143
2021-04-06,1,1.0,6.428571428571429
2021-04-07,0,-1.0,3.857142857142857
2021-04-08,8,8.0,3.2857142857142856
2021-04-09,3,-5.0,2.4285714285714284
2021-04-10,12,9.0,4.142857142857143
2021-04-11,0,-12.0,3.4285714285714284
2021-04-12,3,3.0,3.857142857142857
2021-04-13,14,11.0,5.714285714285714
2021-04-14,7,-7.0,6.714285714285714
2021-04-15,2,-5.0,5.857142857142857
2021-04-16,1,-1.0,5.571428571428571
2021-04-17,9,8.0,5.142857142857143
2021-04-18,3,-6.0,5.571428571428571
2021-04-19,8,5.0,6.285714285714286
2021-04-20,8,0.0,5.428571428571429
2021-04-21,4,-4.0,5.0
2021-04-22,0,-4.0,4.714285714285714
2021-04-23,4,4.0,5.142857142857143
2021-04-24,2,-2.0,4.142857142857143
2021-04-25,1,-1.0,3.857142857142857
2021-04-26,2,1.0,3.0
2021-04-27,0,-2.0,1.8571428571428572
2021-04-28,0,0.0,1.2857142857142858
2021-04-29,0,0.0,1.2857142857142858
2021-04-30,1,1.0,0.8571428571428571
2021-05-01,0,-1.0,0.5714285714285714
2021-05-02,3,3.0,0.8571428571428571
2021-05-03,1,-2.0,0.7142857142857143
2021-05-04,2,1.0,1.0
2021-05-05,2,0.0,1.2857142857142858
2021-05-06,0,-2.0,1.2857142857142858
2021-05-07,0,0.0,1.1428571428571428
2021-05-08,1,1.0,1.2857142857142858
2021-05-09,1,0.0,1.0
2021-05-10,0,-1.0,0.8571428571428571
2021-05-11,0,0.0,0.5714285714285714
2021-05-12,0,0.0,0.2857142857142857
2021-05-13,0,0.0,0.2857142857142857
2021-05-14,0,0.0,0.2857142857142857
2021-05-15,0,0.0,0.14285714285714285
2021-05-16,1,1.0,0.14285714285714285
2021-05-17,0,-1.0,0.14285714285714285
2021-05-18,0,0.0,0.14285714285714285
2021-05-19,0,0.0,0.14285714285714285
2021-05-20,0,0.0,0.14285714285714285
2021-05-21,4,4.0,0.7142857142857143
2021-05-22,3,-1.0,1.1428571428571428
2021-05-23,1,-2.0,1.1428571428571428
2021-05-24,4,3.0,1.7142857142857142
2021-05-25,3,-1.0,2.142857142857143
2021-05-26,1,-2.0,2.2857142857142856
2021-05-27,2,1.0,2.5714285714285716
2021-05-28,14,12.0,4.0
2021-05-29,6,-8.0,4.428571428571429
2021-05-30,5,-1.0,5.0
2021-05-31,3,-2.0,4.857142857142857
2021-06-01,1,-2.0,4.571428571428571
2021-06-02,8,7.0,5.571428571428571
2021-06-03,12,4.0,7.0
2021-06-04,6,-6.0,5.857142857142857
2021-06-05,9,3.0,6.285714285714286
2021-06-06,1,-8.0,5.714285714285714
2021-06-07,0,-1.0,5.285714285714286
2021-06-08,15,15.0,7.285714285714286
2021-06-09,0,-15.0,6.142857142857143
2021-06-10,14,14.0,6.428571428571429
2021-06-11,2,-12.0,5.857142857142857
2021-06-12,0,-2.0,4.571428571428571
2021-06-13,18,18.0,7.0
2021-06-14,21,3.0,10.0
2021-06-15,3,-18.0,8.285714285714286
2021-06-16,6,3.0,9.142857142857142
2021-06-17,0,-6.0,7.142857142857143
2021-06-18,2,2.0,7.142857142857143
2021-06-19,19,17.0,9.857142857142858
2021-06-20,4,-15.0,7.857142857142857
2021-06-21,0,-4.0,4.857142857142857
2021-06-22,1,1.0,4.571428571428571
2021-06-23,6,5.0,4.571428571428571
2021-06-24,5,-1.0,5.285714285714286
2021-06-25,15,10.0,7.142857142857143
2021-06-26,4,-11.0,5.0
2021-06-27,2,-2.0,4.714285714285714
2021-06-28,1,-1.0,4.857142857142857
2021-06-29,6,5.0,5.571428571428571
2021-06-30,2,-4.0,5.0
2021-07-01,3,1.0,4.714285714285714
2021-07-02,0,-3.0,2.5714285714285716
2021-07-03,2,2.0,2.2857142857142856
2021-07-04,3,1.0,2.4285714285714284
2021-07-05,0,-3.0,2.2857142857142856
2021-07-06,0,0.0,1.4285714285714286
2021-07-07,4,4.0,1.7142857142857142
2021-07-08,3,-1.0,1.7142857142857142
2021-07-09,0,-3.0,1.7142857142857142
2021-07-10,0,0.0,1.4285714285714286
2021-07-11,2,2.0,1.2857142857142858
2021-07-12,0,-2.0,1.2857142857142858
2021-07-13,0,0.0,1.2857142857142858
2021-07-14,4,4.0,1.2857142857142858
2021-07-15,6,2.0,1.7142857142857142
2021-07-16,2,-4.0,2.0
2021-07-17,0,-2.0,2.0
2021-07-18,6,6.0,2.5714285714285716
2021-07-19,2,-4.0,2.857142857142857
2021-07-20,3,1.0,3.2857142857142856
2021-07-21,2,-1.0,3.0
2021-07-22,6,4.0,3.0
2021-07-23,0,-6.0,2.7142857142857144
2021-07-24,0,0.0,2.7142857142857144
2021-07-25,3,3.0,2.2857142857142856
2021-07-26,0,-3.0,2.0
2021-07-27,0,0.0,1.5714285714285714
2021-07-28,0,0.0,1.2857142857142858
2021-07-29,4,4.0,1.0
2021-07-30,1,-3.0,1.1428571428571428
2021-07-31,0,-1.0,1.1428571428571428
2021-08-01,0,0.0,0.7142857142857143
2021-08-02,0,0.0,0.7142857142857143
2021-08-03,0,0.0,0.7142857142857143
2021-08-04,-1,-1.0,0.5714285714285714
2021-08-05,1,2.0,0.14285714285714285
2021-08-06,0,-1.0,0.0
2021-08-07,0,0.0,0.0
2021-08-08,2,2.0,0.2857142857142857
2021-08-09,0,-2.0,0.2857142857142857
2021-08-10,0,0.0,0.2857142857142857
2021-08-11,0,0.0,0.42857142857142855
2021-08-12,0,0.0,0.2857142857142857
2021-08-13,4,4.0,0.8571428571428571
2021-08-14,0,-4.0,0.8571428571428571
2021-08-15,2,2.0,0.8571428571428571
2021-08-16,0,-2.0,0.8571428571428571
2021-08-17,0,0.0,0.8571428571428571
2021-08-18,1,1.0,1.0
2021-08-19,0,-1.0,1.0
2021-08-20,0,0.0,0.42857142857142855
2021-08-21,5,5.0,1.1428571428571428
2021-08-22,1,-4.0,1.0
2021-08-23,0,-1.0,1.0
2021-08-24,0,0.0,1.0
2021-08-25,0,0.0,0.8571428571428571
2021-08-26,0,0.0,0.8571428571428571
2021-08-27,0,0.0,0.8571428571428571
2021-08-28,0,0.0,0.14285714285714285
2021-08-29,0,0.0,0.0
2021-08-30,0,0.0,0.0
2021-08-31,0,0.0,0.0
2021-09-01,0,0.0,0.0
2021-09-02,0,0.0,0.0
2021-09-03,0,0.0,0.0
2021-09-04,0,0.0,0.0
2021-09-05,0,0.0,0.0
2021-09-06,0,0.0,0.0
2021-09-07,0,0.0,0.0
2021-09-08,0,0.0,0.0
2021-09-09,0,0.0,0.0
2021-09-10,0,0.0,0.0
2021-09-11,0,0.0,0.0
2021-09-12,0,0.0,0.0
2021-09-13,0,0.0,0.0
2021-09-14,0,0.0,0.0
2021-09-15,0,0.0,0.0
2021-09-16,0,0.0,0.0
2021-09-17,0,0.0,0.0
2021-09-18,0,0.0,0.0
2021-09-19,0,0.0,0.0
2021-09-20,0,0.0,0.0
2021-09-21,0,0.0,0.0
2021-09-22,0,0.0,0.0
2021-09-23,0,0.0,0.0
2021-09-24,0,0.0,0.0
2021-09-25,0,0.0,0.0
2021-09-26,0,0.0,0.0
2021-09-27,0,0.0,0.0
2021-09-28,0,0.0,0.0
2021-09-29,0,0.0,0.0
2021-09-30,0,0.0,0.0
2021-10-01,0,0.0,0.0
2021-10-02,0,0.0,0.0
2021-10-03,0,0.0,0.0
2021-10-04,0,0.0,0.0
2021-10-05,0,0.0,0.0
2021-10-06,0,0.0,0.0
2021-10-07,0,0.0,0.0
2021-10-08,0,0.0,0.0
2021-10-09,0,0.0,0.0
2021-10-10,0,0.0,0.0
2021-10-11,0,0.0,0.0
2021-10-12,0,0.0,0.0
2021-10-13,0,0.0,0.0
2021-10-14,0,0.0,0.0
2021-10-15,0,0.0,0.0
2021-10-16,0,0.0,0.0
2021-10-17,0,0.0,0.0
2021-10-18,0,0.0,0.0
2021-10-19,0,0.0,0.0
2021-10-20,0,0.0,0.0
2021-10-21,0,0.0,0.0
2021-10-22,0,0.0,0.0
2021-10-23,0,0.0,0.0
2021-10-24,0,0.0,0.0
2021-10-25,0,0.0,0.0
2021-10-26,0,0.0,0.0
2021-10-27,0,0.0,0.0
2021-10-28,0,0.0,0.0
2021-10-29,0,0.0,0.0
2021-10-30,0,0.0,0.0
2021-10-31,0,0.0,0.0
2021-11-01,0,0.0,0.0
2021-11-02,0,0.0,0.0
2021-11-03,0,0.0,0.0
2021-11-04,0,0.0,0.0
2021-11-05,0,0.0,0.0
2021-11-06,0,0.0,0.0
2021-11-07,0,0.0,0.0
2021-11-08,0,0.0,0.0
2021-11-09,0,0.0,0.0
2021-11-10,0,0.0,0.0
2021-11-11,0,0.0,0.0
2021-11-12,0,0.0,0.0
2021-11-13,0,0.0,0.0
2021-11-14,0,0.0,0.0
2021-11-15,0,0.0,0.0
2021-11-16,0,0.0,0.0
2021-11-17,0,0.0,0.0
2021-11-18,0,0.0,0.0
2021-11-19,0,0.0,0.0
2021-11-20,0,0.0,0.0
2021-11-21,0,0.0,0.0
2021-11-22,0,0.0,0.0
2021-11-23,0,0.0,0.0
2021-11-24,0,0.0,0.0
2021-11-25,0,0.0,0.0
2021-11-26,0,0.0,0.0
2021-11-27,0,0.0,0.0
2021-11-28,0,0.0,0.0
2021-11-29,0,0.0,0.0
2021-11-30,0,0.0,0.0
2021-12-01,0,0.0,0.0
2021-12-02,0,0.0,0.0
2021-12-03,0,0.0,0.0
2021-12-04,0,0.0,0.0
2021-12-05,0,0.0,0.0
2021-12-06,0,0.0,0.0
2021-12-07,0,0.0,0.0
2021-12-08,0,0.0,0.0
2021-12-09,0,0.0,0.0
2021-12-10,0,0.0,0.0
2021-12-11,0,0.0,0.0
2021-12-12,0,0.0,0.0
2021-12-13,0,0.0,0.0
2021-12-14,0,0.0,0.0
2021-12-15,0,0.0,0.0
2021-12-16,0,0.0,0.0
2021-12-17,0,0.0,0.0
2020-03-21,2,2.0,0.2857142857142857
2020-03-22,0,-2.0,0.2857142857142857
2020-03-23,0,0.0,0.2857142857142857
2020-03-24,5,5.0,1.0
2020-03-25,0,-5.0,1.0
2020-03-26,2,2.0,1.2857142857142858
2020-03-27,0,-2.0,1.2857142857142858
2020-03-28,4,4.0,1.5714285714285714
2020-03-29,0,-4.0,1.5714285714285714
2020-03-30,0,0.0,1.5714285714285714
2020-03-31,0,0.0,0.8571428571428571
2020-04-01,10,10.0,2.2857142857142856
2020-04-02,1,-9.0,2.142857142857143
2020-04-03,7,6.0,3.142857142857143
2020-04-04,5,-2.0,3.2857142857142856
2020-04-05,0,-5.0,3.2857142857142856
2020-04-06,0,0.0,3.2857142857142856
2020-04-07,6,6.0,4.142857142857143
2020-04-08,3,-3.0,3.142857142857143
2020-04-09,11,8.0,4.571428571428571
2020-04-10,12,1.0,5.285714285714286
2020-04-11,2,-10.0,4.857142857142857
2020-04-12,4,2.0,5.428571428571429
2020-04-13,30,26.0,9.714285714285714
2020-04-14,1,-29.0,9.0
2020-04-15,26,25.0,12.285714285714286
2020-04-16,16,-10.0,13.0
2020-04-17,36,20.0,16.428571428571427
2020-04-18,17,-19.0,18.571428571428573
2020-04-19,22,5.0,21.142857142857142
2020-04-20,3,-19.0,17.285714285714285
2020-04-21,27,24.0,21.0
2020-04-22,10,-17.0,18.714285714285715
2020-04-23,6,-4.0,17.285714285714285
2020-04-24,39,33.0,17.714285714285715
2020-04-25,49,10.0,22.285714285714285
2020-04-26,6,-43.0,20.0
2020-04-27,21,15.0,22.571428571428573
2020-04-28,0,-21.0,18.714285714285715
2020-04-29,1,1.0,17.428571428571427
2020-04-30,78,77.0,27.714285714285715
2020-05-01,0,-78.0,22.142857142857142
2020-05-02,115,115.0,31.571428571428573
2020-05-03,-102,-217.0,16.142857142857142
2020-05-04,38,140.0,18.571428571428573
2020-05-05,201,163.0,47.285714285714285
2020-05-06,57,-144.0,55.285714285714285
2020-05-07,69,12.0,54.0
2020-05-08,77,8.0,65.0
2020-05-09,53,-24.0,56.142857142857146
2020-05-10,79,26.0,82.0
2020-05-11,5,-74.0,77.28571428571429
2020-05-12,117,112.0,65.28571428571429
