,df,y
561,2021-10-03,1
562,2021-10-04,0
563,2021-10-05,0
564,2021-10-06,0
565,2021-10-07,5
566,2021-10-08,13
567,2021-10-09,9
568,2021-10-10,1
569,2021-10-11,6
570,2021-10-12,0
571,2021-10-13,7
572,2021-10-14,7
573,2021-10-15,5
574,2021-10-16,0
575,2021-10-17,10
576,2021-10-18,521
577,2021-10-19,60
578,2021-10-20,33
579,2021-10-21,50
580,2021-10-22,38
581,2021-10-23,35
582,2021-10-24,8
583,2021-10-25,28
584,2021-10-26,29
585,2021-10-27,32
586,2021-10-28,38
587,2021-10-29,8
588,2021-10-30,12
589,2021-10-31,5
590,2021-11-01,18
591,2021-11-02,4
592,2021-11-03,32
593,2021-11-04,47
594,2021-11-05,54
595,2021-11-06,32
596,2021-11-07,1
597,2021-11-08,8
598,2021-11-09,82
599,2021-11-10,31
600,2021-11-11,0
601,2021-11-12,0
602,2021-11-13,0
603,2021-11-14,0
604,2021-11-15,0
605,2021-11-16,0
606,2021-11-17,0
607,2021-11-18,0
608,2021-11-19,0
609,2021-11-20,0
610,2021-11-21,0
611,2021-11-22,0
612,2021-11-23,0
613,2021-11-24,0
614,2021-11-25,0
615,2021-11-26,0
616,2021-11-27,0
617,2021-11-28,0
618,2021-11-29,0
619,2021-11-30,0
620,2021-12-01,0
621,2021-12-02,0
622,2021-12-03,0
623,2021-12-04,0
624,2021-12-05,0
625,2021-12-06,0
626,2021-12-07,0
627,2021-12-08,0
628,2021-12-09,0
629,2021-12-10,0
630,2021-12-11,0
631,2021-12-12,0
632,2021-12-13,0
633,2021-12-14,0
634,2021-12-15,0
635,2021-12-16,0
636,2021-12-17,0
